,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
5616,（株）博電舎,谷井　一博,大阪府大阪市福島区海老江８－９－９,7120001036082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,982,,673,0,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,635,,771,0,771,,,,,,,,,,,,,,,,,,,20211101
5617,箱崎プラント工業（株）,野村　健志,福岡県福岡市東区箱崎ふ頭６－１０－２,7290001003784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1055,,632,0,632,C,1617,,682,0,682,,,,,,,,,,,,,,,,,,,○,1268,,647,0,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,643,,767,0,767,,,,,,,,,,,,,,,,,,,20211101
5618,パシオン（株）,吉田　健一,福岡県福岡市西区今宿１－４－５,7290001070214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1077,-01,615,0,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3623,-01,580,0,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,881,-01,603,0,603,,,,,,,20211101
5619,（有）一電業社,一　裕治,熊本県熊本市南区野田３－８－４１,9330002008248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,585,,813,0,813,C,1519,,696,0,696,,,,,,,,,,,,,,,,,,,,,,,,,○,2769,,742,0,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,710,,744,0,744,,,,,,,20211101
5620,ハタナカ電通（株）,畑中　康文,佐賀県佐賀市鍋島六丁目十一番十五号,2300001008324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1015,,657,0,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,965,,606,0,606,,,,,,,,,,,,,20211101
5621,（株）ハッセイ,樋口　和宏,福岡県北九州市八幡西区市瀬１－２－１,6290801010592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,282,,933,0,933,C,577,,841,0,841,,,,,,,,,,,,,,,,,,,,,,,,,○,1426,,885,0,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,739,,735,0,735,,,,,,,○,342,,923,0,923,,,,,,,20211101
5622,服部電池（株）,嶽山　繁一,広島県福山市佐波町１６８－１,3240001031694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1082,,611,0,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1133,,559,0,559,,,,,,,,,,,,,,,,,,,20211101
5623,パナソニック産機システムズ（株）,稲継　哲章,東京都墨田区押上１－１－２　東京スカイツリーイーストタワービル　２２階,8010501032913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,69,,1244,0,1244,B,247,,1560,0,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211101
5624,パナソニック防災システムズ（株）,遠藤　徹,東京都港区虎ノ門３－４－７,5120001009032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,283,,933,0,933,C,61,,1223,0,1223,,,,,,,,,,,,,,,,,,,,,,,,,○,1516,,867,0,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,330,,1059,0,1059,,,,,,,,,,,,,20211101
5625,（株）はまゆう電設,長友　廣志,宮崎県宮崎市恒久南３―１２―１１,5350001001395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,281,,933,0,933,C,1405,,709,0,709,,,,,,,,,,,,,,,,,,,,,,,,,○,1953,,816,0,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,687,,721,0,721,○,533,,816,0,816,,,,,,,20211101
5626,（有）原口電設,原口　敏明,佐賀県佐賀市田代２－８－４５,3300002001194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,428,,870,0,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2380,,778,0,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211101
5627,（株）パルックス,今藤　信昭,宮城県仙台市若林区蒲町東１６番地の３,4370001003861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,711,,770,0,770,C,1965,,590,0,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211101
5628,（株）ピーシーテレコム,小川　幸夫,埼玉県さいたま市中央区八王子２－２－１６,3030001010273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1008,-01,661,0,661,C,2014,-01,552,0,552,,,,,,,,,,,,,,,,,,,,,,,,,○,3525,-01,622,0,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,615,-01,744,0,744,○,868,-01,622,0,622,,,,,,,20211101
5629,東谷工営（有）,盛谷　啓介,福岡県北九州市小倉南区大字新道寺３７１－１０,2290802005249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,850,,723,0,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3419,,654,0,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,844,,654,0,654,○,1334,,654,0,654,20211101
5630,（有）東電気商会,東　利一郎,福岡県筑後市大字山ノ井３７１－２,1290002047497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,659,,787,0,787,C,1570,,688,0,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211101
