,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
1201,（株）データベース,8430001016944,北海道,大企業, 870, , 815, ,1084, ,,,,,20200101
1202,（株）テクノ,2290001048702,福岡県,中小企業, 603, , 781, , 488, , 495, , 176, ,20200101
1203,（有）テクノ関西,6120902016357,大阪府,中小企業,1268, ,,,,,,,,,20200101
1204,テクノサポート（株）,7120001036933,大阪府,中小企業, 305, ,,,,,,,,,20200101
1205,（株）テクノス,9110001022899,新潟県,中小企業, 774, ,,,,,,, 591, ,20200101
1206,（株）テクノスジャパン,4080101002000,静岡県,大企業, 359, , 987, , 198, ,,, 759, ,20200101
1207,（株）テクノマップ,5220001008429,石川県,中小企業, 372, ,,,,,,,,,20200101
1208,（株）テック・エンジニア,3090001008139,山梨県,中小企業, 544, ,,,,,,, 281, ,20200101
1209,鉄建建設（株）,2010001008709,東京都,中小企業, 669, ,,, 610, ,,,,,20200101
1210,（株）寺島コンサルタント,3230001001797,富山県,中小企業, 552, ,,, 828, ,,, 806, ,20200101
1211,（株）テル測量,3140001094132,兵庫県,中小企業,1304, ,,,,,,,,,20200101
1212,デルタコンサルタンツ（株）,9070001019743,群馬県,中小企業,1190, ,1062, ,1344, , 774, , 829, ,20200101
1213,（株）デルタコンサルタント,5210001009650,福井県,中小企業,1130, ,,, 589, ,,,,,20200101
1214,東亜建設技術（株）,2290001008929,福岡県,大企業,  54, , 572, , 227, , 558, ,  47, ,20200101
1215,東亜建設工業（株）,3011101055078,東京都,大企業, 323, , 345, , 403, , 124, ,,,20200101
1216,（株）東亜コンサルタント,2290001014828,福岡県,中小企業, 941, ,,, 466, , 602, ,,,20200101
1217,東亜コンサルタント（株）,2320001001871,大分県,中小企業, 635, ,,, 312, ,,, 186, ,20200101
1218,東亜測量設計（株）,1080101005930,静岡県,中小企業, 867, ,,,1128, ,,, 459, ,20200101
1219,東亜道路工業（株）,7010401020201,東京都,大企業, 890, ,,, 499, ,,,,,20200101
1220,稲栄産業（株）,8180001085544,愛知県,中小企業,1162, ,,,,,,,,,20200101
1221,（株）東海環境エンジニア,2180001020218,愛知県,中小企業,1176, ,,,,, 154, ,,,20200101
1222,東海技術開発（株）,3080101011613,静岡県,中小企業, 633, ,,,1098, ,,, 460, ,20200101
1223,（一財）東海技術センター,2180005014042,愛知県,公益法人, 903, ,,, 427, , 336, ,,,20200101
1224,（株）東海共同測量設計コンサルタント,8190001017439,三重県,中小企業, 598, ,,,1082, , 527, , 515, ,20200101
1225,（株）東海建設コンサルタント,5080101001190,静岡県,中小企業, 374, , 980, , 571, , 714, , 737, ,20200101
1226,（株）東海コンサルタンツ,1180301006479,愛知県,中小企業,1022, ,,, 834, , 667, , 707, ,20200101
1227,（株）東海テクノス,4200001006360,岐阜県,中小企業,1146, ,,,,, 320, ,,,20200101
1228,（株）東海プランニング,4200001010081,岐阜県,中小企業, 688, ,,, 971, , 642, , 628, ,20200101
1229,東京カートグラフィック（株）,7011301004830,東京都,中小企業, 326, ,,,,,,,,,20200101
1230,東京技工（株）,3010401020493,東京都,大企業,   5, ,,, 370, ,,,,,20200101
1231,（株）東京久栄,9010001061230,東京都,中小企業,1148, ,1023, , 297, ,,,,,20200101
1232,（株）東京建設コンサルタント,6013301007970,東京都,大企業, 130, , 449, ,  26, , 110, ,,,20200101
1233,東京コンサルタンツ（株）,2010001034143,東京都,大企業, 244, ,,, 138, , 121, ,,,20200101
1234,（株）東京設計事務所,6010001034247,東京都,大企業, 423, , 203, ,  43, , 360, ,,,20200101
1235,（株）東京ソイルリサーチ,3013201006646,東京都,大企業, 136, , 141, , 249, ,   5, ,,,20200101
1236,（株）東京ランドスケープ研究所,5011101041563,東京都,中小企業,1192, , 549, , 900, ,,,,,20200101
1237,（株）東建工営,5370001002020,宮城県,大企業, 220, , 568, ,  76, ,,, 229, ,20200101
1238,（株）東建コンサルタント,6011101013982,東京都,中小企業, 705, , 603, , 724, , 666, ,,,20200101
1239,（株）東建ジオテック,6030001005972,埼玉県,大企業, 460, ,,, 337, ,  13, ,,,20200101
1240,（株）東光コンサルタンツ,1010501029809,東京都,大企業, 140, , 829, ,  88, , 239, ,,,20200101
1241,（株）東城,5230001007132,富山県,中小企業,1169, ,,,1452, , 381, ,,,20200101
1242,東信測量（株）,9011201003749,東京都,中小企業,1056, ,,,,,,,,,20200101
1243,東静測量設計（株）,6080101005942,静岡県,中小企業, 854, ,,,1429, ,,, 402, ,20200101
1244,（株）東設土木コンサルタント,9010001051470,東京都,中小企業, 270, ,,, 388, , 282, ,,,20200101
1245,（株）藤測,4100001022608,長野県,中小企業, 775, ,,,1381, ,,, 394, ,20200101
1246,（株）道測テクニス,9430001011390,北海道,中小企業, 501, ,,,1377, ,,, 444, ,20200101
1247,東電設計（株）,8010501018648,東京都,大企業, 281, ,  20, ,  12, ,  39, ,,,20200101
1248,（株）東日,8080101001262,静岡県,中小企業,  92, , 762, , 225, , 170, , 261, ,20200101
1249,（有）東濃技研,2200002023893,岐阜県,中小企業, 815,-01,,,,,,, 475,-01,20200101
1250,（株）東邦地形社,1011001050073,東京都,中小企業, 558, ,,,,,,,,,20200101
1251,東邦地水（株）,8190001015673,三重県,中小企業, 463, ,,, 416, ,  14, ,,,20200101
1252,東北測量（株）,6420001000001,青森県,中小企業, 332, , 844, ,1428, , 561, , 242, ,20200101
1253,（株）東北測量設計社,6110001020047,新潟県,中小企業, 357, ,,,1138, ,,,  96, ,20200101
